21-Sep-2023 18:50:16 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
1.0789489e+01	3.4882036e-02	-2.7595165e+01	3.0574358e-02	-3.6414458e+01	2.7420348e-02	-4.8094706e+01	2.1150119e-02	-6.3401235e+01	1.6139618e-02	-8.0131606e+01	6.0073173e-04	-1.3571632e+02
1.1089489e+01	3.3197899e-02	-2.8227555e+01	2.9909948e-02	-3.7326196e+01	2.5680664e-02	-4.8278643e+01	2.0093665e-02	-6.5297681e+01	1.4941771e-02	-7.9905050e+01	1.2407873e-03	-1.5575852e-01
1.1389489e+01	3.1765708e-02	-2.9324377e+01	2.8455307e-02	-3.7912308e+01	2.3504990e-02	-4.6752883e+01	1.9588195e-02	-6.5707173e+01	1.4816126e-02	-8.6459551e+01	2.4950011e-03	-1.1017417e+02
1.1689489e+01	3.0322236e-02	-3.1358814e+01	2.6923799e-02	-3.8894340e+01	2.3755506e-02	-5.1138543e+01	1.8849610e-02	-6.6758493e+01	1.4143709e-02	-8.6511194e+01	7.9444296e-04	-1.3844790e+02
1.1989489e+01	2.9091364e-02	-3.1320344e+01	2.5574663e-02	-4.0659058e+01	2.2074778e-02	-5.1963829e+01	1.8223357e-02	-6.8469387e+01	1.2106206e-02	-8.9909499e+01	5.4636527e-04	-1.1403188e+02
1.2289489e+01	2.8130346e-02	-3.1901285e+01	2.4481530e-02	-4.1276871e+01	2.0346186e-02	-5.3208664e+01	1.6537459e-02	-7.0084628e+01	1.2377099e-02	-8.9843234e+01	1.3994742e-03	2.4110440e+00
1.2589489e+01	2.7062699e-02	-3.2279927e+01	2.3447131e-02	-4.2451358e+01	2.0005167e-02	-5.5028249e+01	1.5249521e-02	-7.3948003e+01	1.1232047e-02	-9.0627029e+01	1.7426347e-03	-4.0236405e+01
1.2889489e+01	2.5826088e-02	-3.3601105e+01	2.2716052e-02	-4.3665083e+01	1.8424022e-02	-5.6225184e+01	1.4943836e-02	-7.0564287e+01	1.1272499e-02	-9.1253207e+01	1.2584624e-03	-1.5456348e+02
1.3189489e+01	2.5260959e-02	-3.3803852e+01	2.1942225e-02	-4.3944601e+01	1.7929755e-02	-5.9177971e+01	1.4460752e-02	-7.2720293e+01	9.4116914e-03	-1.0029347e+02	3.4688709e-04	2.2499987e+00
1.3489489e+01	2.4494034e-02	-3.4564375e+01	2.1135743e-02	-4.5426044e+01	1.7603513e-02	-5.5116638e+01	1.4126468e-02	-7.4576033e+01	9.6928521e-03	-1.0075718e+02	1.2986373e-03	-1.6138414e+02
1.3789489e+01	2.3568295e-02	-3.5274203e+01	2.0624556e-02	-4.6091995e+01	1.6155483e-02	-5.9461094e+01	1.3009309e-02	-7.6563677e+01	8.6870701e-03	-1.0365460e+02	9.8811722e-04	-7.1666437e+01
1.4089489e+01	2.2539894e-02	-3.5676438e+01	1.9201407e-02	-4.8582380e+01	1.6043440e-02	-6.0652429e+01	1.2179519e-02	-8.0556212e+01	8.3860833e-03	-1.0219773e+02	1.4494993e-03	-1.5659689e+02
1.4389489e+01	2.1793552e-02	-3.6943794e+01	1.9051183e-02	-4.7529149e+01	1.5793569e-02	-6.2204954e+01	1.1289789e-02	-7.6249840e+01	8.4329541e-03	-1.0550804e+02	1.0911003e-03	1.6107136e-01
1.4689489e+01	2.1488699e-02	-3.7119732e+01	1.8175974e-02	-4.8922885e+01	1.4298401e-02	-6.3936264e+01	1.1978396e-02	-7.6669037e+01	8.4871217e-03	-1.0743846e+02	2.0807002e-03	-7.3935057e+01
1.4989489e+01	2.0805854e-02	-3.7427504e+01	1.7348474e-02	-4.8829090e+01	1.4217436e-02	-6.3103638e+01	1.0806872e-02	-8.5342390e+01	7.3831082e-03	-1.1262515e+02	1.6270785e-03	1.3089394e+01
